POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
366,40991,40991,F,H2L,PreMove,40991 PreMove,9/16/2018 22:00:0,33.147139,-81.705731
367,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 0:00:0,33.146204,-81.70582
368,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 2:00:0,33.144882,-81.702056
369,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 4:00:0,33.149574,-81.704434
370,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 6:00:0,33.152282,-81.7046
371,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 12:00:0,33.151322,-81.70465
372,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 18:00:0,33.147749,-81.706164
373,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 20:00:0,33.146738,-81.705744
374,40991,40991,F,H2L,PreMove,40991 PreMove,9/17/2018 22:00:0,33.146058,-81.706253
375,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 0:00:0,33.145594,-81.705731
376,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 2:00:0,33.145708,-81.705668
377,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 4:00:0,33.145861,-81.705884
378,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 6:00:0,33.146179,-81.706125
379,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 12:00:0,33.144971,-81.706837
380,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 18:00:0,33.144964,-81.706774
381,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 20:00:0,33.145765,-81.706151
382,40991,40991,F,H2L,PreMove,40991 PreMove,9/18/2018 22:00:0,33.145492,-81.705197
383,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 0:00:0,33.147323,-81.70596
384,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 2:00:0,33.148105,-81.710283
385,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 4:00:0,33.148035,-81.708808
386,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 6:00:0,33.14808,-81.708363
387,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 12:00:0,33.148105,-81.708427
388,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 18:00:0,33.147539,-81.70788
389,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 20:00:0,33.147565,-81.707041
390,40991,40991,F,H2L,PreMove,40991 PreMove,9/19/2018 22:00:0,33.147151,-81.706812
391,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 0:00:0,33.147291,-81.705019
392,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 2:00:0,33.144824,-81.703061
393,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 4:00:0,33.145384,-81.706151
394,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 6:00:0,33.147438,-81.706837
395,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 12:00:0,33.148099,-81.708452
396,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 18:00:0,33.14808,-81.707944
397,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 20:00:0,33.147755,-81.706214
398,40991,40991,F,H2L,PreMove,40991 PreMove,9/20/2018 22:00:0,33.147425,-81.705401
399,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 0:00:0,33.146032,-81.706164
400,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 2:00:0,33.145753,-81.706443
401,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 4:00:0,33.14588,-81.704663
402,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 6:00:0,33.147705,-81.703125
403,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 12:00:0,33.151087,-81.704383
404,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 18:00:0,33.151685,-81.705795
405,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 20:00:0,33.151907,-81.706049
406,40991,40991,F,H2L,PreMove,40991 PreMove,9/21/2018 22:00:0,33.151812,-81.706125
407,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 0:00:0,33.151907,-81.706151
408,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 2:00:0,33.151875,-81.705922
409,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 4:00:0,33.150216,-81.705388
410,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 6:00:0,33.150203,-81.705553
411,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 12:00:0,33.151163,-81.703976
412,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 18:00:0,33.148639,-81.704536
413,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 20:00:0,33.146179,-81.706011
414,40991,40991,F,H2L,PreMove,40991 PreMove,9/22/2018 22:00:0,33.146338,-81.70582
415,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 0:00:0,33.148868,-81.705324
416,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 2:00:0,33.149078,-81.705782
417,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 4:00:0,33.147501,-81.707931
418,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 6:00:0,33.148283,-81.708796
419,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 12:00:0,33.151933,-81.708058
420,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 18:00:0,33.151977,-81.706342
421,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 20:00:0,33.151939,-81.706049
422,40991,40991,F,H2L,PreMove,40991 PreMove,9/23/2018 22:00:0,33.151494,-81.706342
423,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 0:00:0,33.147132,-81.706265
424,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 2:00:0,33.146649,-81.706075
425,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 4:00:0,33.146814,-81.703849
426,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 6:00:0,33.148461,-81.704282
427,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 12:00:0,33.151271,-81.704752
428,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 18:00:0,33.151735,-81.705579
429,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 20:00:0,33.152231,-81.706736
430,40991,40991,F,H2L,PreMove,40991 PreMove,9/24/2018 22:00:0,33.14766,-81.707893
431,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 0:00:0,33.146935,-81.707232
432,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 2:00:0,33.145517,-81.704205
433,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 4:00:0,33.146745,-81.705197
434,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 6:00:0,33.149707,-81.705363
435,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 12:00:0,33.152448,-81.708732
436,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 18:00:0,33.150553,-81.710067
437,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 20:00:0,33.148963,-81.71036
438,40991,40991,F,H2L,PreMove,40991 PreMove,9/25/2018 22:00:0,33.147577,-81.707982
439,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 0:00:0,33.147469,-81.707931
440,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 2:00:0,33.149892,-81.705121
441,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 4:00:0,33.147101,-81.706825
442,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 6:00:0,33.14752,-81.708058
443,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 12:00:0,33.148194,-81.708618
444,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 18:00:0,33.148131,-81.708478
445,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 20:00:0,33.147666,-81.708007
446,40991,40991,F,H2L,PreMove,40991 PreMove,9/26/2018 22:00:0,33.147781,-81.707562
447,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 0:00:0,33.145371,-81.704803
448,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 2:00:0,33.145632,-81.703277
449,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 4:00:0,33.145804,-81.70362
450,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 6:00:0,33.15164,-81.705528
451,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 12:00:0,33.152683,-81.707016
452,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 18:00:0,33.152091,-81.70947
453,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 20:00:0,33.149383,-81.710538
454,40991,40991,F,H2L,PreMove,40991 PreMove,9/27/2018 22:00:0,33.147584,-81.708007
455,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 0:00:0,33.146636,-81.706621
456,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 2:00:0,33.145263,-81.702985
457,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 4:00:0,33.145893,-81.705451
458,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 6:00:0,33.147692,-81.707995
459,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 12:00:0,33.149644,-81.709508
460,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 18:00:0,33.150845,-81.710372
461,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 20:00:0,33.152212,-81.706736
462,40991,40991,F,H2L,PreMove,40991 PreMove,9/28/2018 22:00:0,33.150807,-81.705744
463,40991,40991,F,H2L,PreMove,40991 PreMove,9/29/2018 0:00:0,33.151271,-81.705324
464,40991,40991,F,H2L,PreMove,40991 PreMove,9/29/2018 4:00:0,33.151481,-81.706558
465,40991,40991,F,H2L,PreMove,40991 PreMove,9/29/2018 6:00:0,33.149784,-81.704434
466,40991,40991,F,H2L,PreMove,40991 PreMove,9/29/2018 12:00:0,33.150928,-81.704676
467,40991,40991,F,H2L,PreMove,40991 PreMove,9/29/2018 18:00:0,33.150909,-81.70479
468,40991,40991,F,H2L,PreMove,40991 PreMove,9/29/2018 20:00:0,33.150629,-81.70563
469,40991,40991,F,H2L,PreMove,40991 PreMove,9/29/2018 22:00:0,33.146452,-81.705744
470,40991,40991,F,H2L,PreMove,40991 PreMove,9/30/2018 0:00:0,33.14595,-81.703862
471,40991,40991,F,H2L,PreMove,40991 PreMove,9/30/2018 2:00:0,33.146764,-81.707613
472,40991,40991,F,H2L,PreMove,40991 PreMove,9/30/2018 4:00:0,33.149288,-81.708173
473,40991,40991,F,H2L,PreMove,40991 PreMove,9/30/2018 6:00:0,33.150057,-81.706532
474,40991,40991,F,H2L,PreMove,40991 PreMove,9/30/2018 18:00:0,33.15092,-81.704818
475,40991,40991,F,H2L,PreMove,40991 PreMove,9/30/2018 20:00:0,33.151622,-81.70539
476,40991,40991,F,H2L,PreMove,40991 PreMove,9/30/2018 22:00:0,33.151874,-81.705947
