POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
55,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 0:00:0,33.327568,-81.685882
56,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 2:00:0,33.327676,-81.685704
57,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 4:00:0,33.327548,-81.685933
58,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 6:00:0,33.327669,-81.685908
59,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 12:00:0,33.32758,-81.68606
60,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 18:00:0,33.328617,-81.686009
61,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 20:00:0,33.32814,-81.682284
62,40991,40991,F,H2L,PostMove,40991 PostMove,11/25/2018 22:00:0,33.328362,-81.679626
63,40991,40991,F,H2L,PostMove,40991 PostMove,11/26/2018 0:00:0,33.333169,-81.670547
64,40991,40991,F,H2L,PostMove,40991 PostMove,11/26/2018 2:00:0,33.330657,-81.672849
65,40991,40991,F,H2L,PostMove,40991 PostMove,11/26/2018 12:00:0,33.326684,-81.672607
66,40991,40991,F,H2L,PostMove,40991 PostMove,11/26/2018 18:00:0,33.329214,-81.676205
67,40991,40991,F,H2L,PostMove,40991 PostMove,11/26/2018 20:00:0,33.332476,-81.698331
68,40991,40991,F,H2L,PostMove,40991 PostMove,11/26/2018 22:00:0,33.314381,-81.715077
69,40991,40991,F,H2L,PostMove,40991 PostMove,11/27/2018 0:00:0,33.294494,-81.712598
70,40991,40991,F,H2L,PostMove,40991 PostMove,11/27/2018 2:00:0,33.294577,-81.712496
71,40991,40991,F,H2L,PostMove,40991 PostMove,11/27/2018 4:00:0,33.294907,-81.712534
72,40991,40991,F,H2L,PostMove,40991 PostMove,11/27/2018 6:00:0,33.294125,-81.712801
73,40991,40991,F,H2L,PostMove,40991 PostMove,11/27/2018 18:00:0,33.294545,-81.712534
74,40991,40991,F,H2L,PostMove,40991 PostMove,11/27/2018 20:00:0,33.292847,-81.710194
75,40991,40991,F,H2L,PostMove,40991 PostMove,11/27/2018 22:00:0,33.287424,-81.698382
76,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 0:00:0,33.278568,-81.695012
77,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 2:00:0,33.279254,-81.693194
78,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 4:00:0,33.278015,-81.696411
79,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 6:00:0,33.276101,-81.695597
